épisode,artiste,titre,liens
Laurent Garnier : [DEEP]Search - Hors Série - 66/76’s,Philippe Katerine,Joyeux anniversaire,Spotify: https://open.spotify.com/track/5hdDV8W6oyLWrEEftzZVZF; Deezer: https://www.deezer.com/track/2940879221
Laurent Garnier : [DEEP]Search - Hors Série - 66/76’s,Charles Aznavour,Buen aniversario,Deezer: https://www.deezer.com/track/90265629
Laurent Garnier : [DEEP]Search - Hors Série - 66/76’s,Carla Thomas,B-a-b-y,Spotify: https://open.spotify.com/track/35w6fQ0Wnuv7aIryRx7gTq; Deezer: https://www.deezer.com/track/2191279777; Apple Music: https://music.apple.com/fr/album/b-a-b-y/886315832?i=886315834&uo=4
Laurent Garnier : [DEEP]Search - Hors Série - 66/76’s,The Last Word,Sleepy hollow,Deezer: https://www.deezer.com/track/1733938047
Laurent Garnier : [DEEP]Search - Hors Série - 66/76’s,Brian Auger Trinity,Season of the witch,
Laurent Garnier : [DEEP]Search - Hors Série - 66/76’s,Fela Kuti,Ololufe (My one and only love),
Laurent Garnier : [DEEP]Search - Hors Série - 66/76’s,Dick Hyman,Give it up or turn it loose,
Laurent Garnier : [DEEP]Search - Hors Série - 66/76’s,Edwin Starr,War,Spotify: https://open.spotify.com/track/4ZEEcEMGjkWOfZNBcIB9yE; Deezer: https://www.deezer.com/track/646312932
Laurent Garnier : [DEEP]Search - Hors Série - 66/76’s,The Beginning Of The End,Funky nassau (part. 1),
Laurent Garnier : [DEEP]Search - Hors Série - 66/76’s,Os Originais Do Samba,"Tenha fé, pois amanha um lindo dia vai nascer",Deezer: https://www.deezer.com/track/379826571
Laurent Garnier : [DEEP]Search - Hors Série - 66/76’s,Michel Fugain,Fais comme l'oiseau,Deezer: https://www.deezer.com/track/3786033532
Laurent Garnier : [DEEP]Search - Hors Série - 66/76’s,Frankie Valli & The Four Seasons,The night,Spotify: https://open.spotify.com/track/31ijr2O0SsuzAPVDLnq3XV
Laurent Garnier : [DEEP]Search - Hors Série - 66/76’s,Secos & Molhados,Sangue latino,Deezer: https://www.deezer.com/track/3880001
Laurent Garnier : [DEEP]Search - Hors Série - 66/76’s,Daniel Salinas,Straussmania,Spotify: https://open.spotify.com/track/64Z3cbCamvbLclfeKwwOkQ; Deezer: https://www.deezer.com/track/482239792
Laurent Garnier : [DEEP]Search - Hors Série - 66/76’s,Artur Nunes,Tia,
Laurent Garnier : [DEEP]Search - Hors Série - 66/76’s,George McCrae,I get lifted,Spotify: https://open.spotify.com/track/587Vwu9qc90AQx9rmTb2wg
Laurent Garnier : [DEEP]Search - Hors Série - 66/76’s,Larry Young,Turn off the lights,Spotify: https://open.spotify.com/track/29uMQdv94cdKHdPKYLdmrQ; Deezer: https://www.deezer.com/track/143169836; Apple Music: https://music.apple.com/fr/album/turn-off-the-lights/1209291927?i=1209292213&uo=4
Laurent Garnier : [DEEP]Search - Hors Série - 66/76’s,Perry Lee Scratch,Roast fish and corn bread,
Laurent Garnier : [DEEP]Search - Hors Série - 66/76’s,The Buzzcocks,Boredom,Deezer: https://www.deezer.com/track/67558846
Laurent Garnier : [DEEP]Search - Hors Série - 66/76’s,David Shire,Salsation,Spotify: https://open.spotify.com/track/5Lh9kNx3ipZC5rcaUkzKqo; Deezer: https://www.deezer.com/track/427219302; Apple Music: https://music.apple.com/fr/album/salsation/1445668458?i=1445668689&uo=4
Laurent Garnier : [DEEP]Search - Hors Série - 77/86’s,David Shire,Salsation,Spotify: https://open.spotify.com/track/5Lh9kNx3ipZC5rcaUkzKqo; Deezer: https://www.deezer.com/track/427219302; Apple Music: https://music.apple.com/fr/album/salsation/1445668458?i=1445668689&uo=4
Laurent Garnier : [DEEP]Search - Hors Série - 77/86’s,The Cramps,Human fly,Deezer: https://www.deezer.com/track/3105726
Laurent Garnier : [DEEP]Search - Hors Série - 77/86’s,Musique,Keep on jumpin',Spotify: https://open.spotify.com/track/6J9rBgsm9USju9PkLf2exF; Deezer: https://www.deezer.com/track/68075779; Apple Music: https://music.apple.com/fr/album/keep-on-jumpin/280358168?i=280358178&uo=4
Laurent Garnier : [DEEP]Search - Hors Série - 77/86’s,Harry Thumann,Underwater,
Laurent Garnier : [DEEP]Search - Hors Série - 77/86’s,The Police,The bed's too big without you,Spotify: https://open.spotify.com/track/3PfBnnkOf0LbCw2jixUCQG; Deezer: https://www.deezer.com/track/7045681
Laurent Garnier : [DEEP]Search - Hors Série - 77/86’s,Bauhaus,Bela Lugosi´s dead,
Laurent Garnier : [DEEP]Search - Hors Série - 77/86’s,Bon-Rock & The Rhythm Rebellion,Searching rap,
Laurent Garnier : [DEEP]Search - Hors Série - 77/86’s,Modern Romance,Can You Move,
Laurent Garnier : [DEEP]Search - Hors Série - 77/86’s,Afrika Bambaataa & The Soulsonic Force,Planet rock,
Laurent Garnier : [DEEP]Search - Hors Série - 77/86’s,Klein & M.B.O.,Dirty talk (European connection instrumental),Deezer: https://www.deezer.com/track/572388312
Laurent Garnier : [DEEP]Search - Hors Série - 77/86’s,What Fun !,The right side won,
Laurent Garnier : [DEEP]Search - Hors Série - 77/86’s,New Model Army,Vengeance,Spotify: https://open.spotify.com/track/46tD9gpOFQBep4s6ddvAKa; Deezer: https://www.deezer.com/track/882162352
Laurent Garnier : [DEEP]Search - Hors Série - 77/86’s,Strafe,Set it off,
Laurent Garnier : [DEEP]Search - Hors Série - 77/86’s,Junkyard Band,The word / Sardines,
Laurent Garnier : [DEEP]Search - Hors Série - 77/86’s,Kevin Irving,Ride the rhythm,
Laurent Garnier : [DEEP]Search - Hors Série - 77/86’s,Jesse Saunders,It's OK (Album mix),Deezer: https://www.deezer.com/track/6210152
